iter	Passed	Remaining
763	4935	1524
764	4940	1517
765	4946	1511
766	4952	1504
767	4957	1497
768	4963	1490
769	4969	1484
770	4974	1477
771	4980	1471
772	4986	1464
773	4992	1457
774	4999	1451
775	5004	1444
776	5011	1438
777	5017	1431
778	5023	1425
779	5031	1419
780	5037	1412
781	5044	1406
782	5049	1399
783	5055	1392
784	5062	1386
785	5068	1380
786	5076	1373
787	5082	1367
788	5088	1360
789	5094	1354
790	5100	1347
791	5106	1341
792	5111	1334
793	5117	1327
794	5123	1321
795	5129	1314
796	5135	1308
797	5141	1301
798	5147	1294
799	5153	1288
800	5158	1281
801	5163	1274
802	5168	1268
803	5174	1261
804	5180	1254
805	5185	1248
806	5191	1241
807	5196	1234
808	5201	1228
809	5207	1221
810	5213	1214
811	5220	1208
812	5225	1201
813	5231	1195
814	5238	1189
815	5244	1182
816	5250	1176
817	5256	1169
818	5262	1163
819	5270	1156
820	5275	1150
821	5281	1143
822	5287	1137
823	5293	1130
824	5299	1124
825	5305	1117
826	5312	1111
827	5319	1104
828	5324	1098
829	5331	1091
830	5338	1085
831	5344	1079
832	5351	1072
833	5357	1066
834	5364	1059
835	5370	1053
836	5376	1046
837	5382	1040
838	5387	1033
839	5393	1027
840	5399	1020
841	5405	1014
842	5410	1007
843	5416	1001
844	5422	994
845	5428	988
846	5436	981
847	5441	975
848	5447	968
849	5453	962
850	5459	955
851	5465	949
852	5470	942
853	5477	936
854	5482	929
855	5487	923
856	5492	916
857	5498	909
858	5503	903
859	5508	896
860	5514	890
861	5519	883
862	5524	877
863	5529	870
864	5534	863
865	5540	857
866	5545	850
867	5550	844
868	5555	837
869	5561	831
870	5566	824
871	5572	817
872	5577	811
873	5582	804
874	5588	798
875	5594	791
876	5598	785
877	5604	778
878	5609	772
879	5614	765
880	5619	759
881	5625	752
882	5630	746
883	5636	739
884	5642	733
885	5647	726
886	5653	720
887	5658	713
888	5664	707
889	5669	700
890	5674	694
891	5679	687
892	5684	681
893	5690	674
894	5694	668
895	5700	661
896	5705	655
897	5710	648
898	5715	642
899	5721	635
900	5726	629
901	5731	622
902	5736	616
903	5742	609
904	5747	603
905	5753	596
906	5758	590
907	5764	584
908	5770	577
909	5776	571
910	5782	564
911	5788	558
912	5794	552
913	5800	545
914	5805	539
915	5811	532
916	5818	526
917	5823	520
918	5829	513
919	5835	507
920	5840	500
921	5847	494
922	5853	488
923	5859	481
924	5867	475
925	5873	469
926	5880	463
927	5886	456
928	5891	450
929	5897	443
930	5903	437
931	5910	431
932	5916	424
933	5921	418
934	5928	412
935	5933	405
936	5939	399
937	5946	393
938	5955	386
939	5963	380
940	5972	374
941	5980	368
942	5988	361
943	5995	355
944	6003	349
945	6013	343
946	6020	336
947	6028	330
948	6041	324
949	6050	318
950	6056	312
951	6062	305
952	6068	299
953	6075	292
954	6081	286
955	6087	280
956	6094	273
957	6100	267
958	6108	261
959	6114	254
960	6121	248
961	6127	242
962	6135	235
963	6142	229
964	6149	223
965	6156	216
966	6162	210
967	6169	203
968	6175	197
969	6184	191
970	6191	184
971	6202	178
972	6209	172
973	6216	165
974	6224	159
975	6230	153
976	6238	146
977	6249	140
978	6257	134
979	6264	127
980	6274	121
981	6280	115
982	6288	108
983	6294	102
984	6304	96
985	6313	89
986	6320	83
987	6329	76
988	6336	70
989	6342	64
990	6349	57
991	6354	51
992	6360	44
993	6366	38
994	6372	32
995	6378	25
996	6384	19
997	6390	12
998	6397	6
999	6403	0
